,Accuracy,Precision,Recall,F1-Score,ROC-AUC
XGBoost,0.54,0.5409836065573771,0.8354430379746836,0.6567164179104478,0.5267427348903548
Logistic Regression,0.5333333333333333,0.5454545454545454,0.6835443037974683,0.6067415730337079,0.5223747548582635
Random Forest,0.5333333333333333,0.5454545454545454,0.6835443037974683,0.6067415730337079,0.5641825637368515
LightGBM,0.5333333333333333,0.5338345864661654,0.8987341772151899,0.6698113207547169,0.4943840256730255
ANN,0.5,0.5188679245283019,0.6962025316455697,0.5945945945945946,0.5380638259939383
